领域	中文名称	英文名称	类型	业务含义	值范围
财务	标准成本	STANDARD_COST	decimal	物料的标准单位成本，用于成本核算和控制	大于0的正数（保留2位小数，单位：元）
财务	实际成本	ACTUAL_COST	decimal	物料实际发生的单位成本，用于成本分析	大于0的正数（保留2位小数，单位：元）
采购	资质等级	QUALIFICATION_LEVEL	string	供应商的准入资质评级，用于供应商管控	A级/B级/C级/D级
仓储	仓库编码	WH_ID	string	唯一标识每一个仓库，用于仓储管理	自定义编码规则（如仓库类型+流水号）
仓储	货位编码	LOCATION_ID	string	唯一标识仓库内的每一个货位，用于库存定位	自定义编码规则（如仓库编码+库区+货位号）
公共	物料类型	MATERIAL_TYPE	string	区分物料的类别，用于业务分类管理	原材料/半成品/成品/辅料/工装
公共	计量单位	UNIT	string	物料的基本计量单位，用于数量统计	个/件/套/kg/m等
公共	是否外购	PURCHASE_FLAG	boolean	标识物料是否为外购件，用于计划、采购业务判断	0=否，1=是
公共	是否自制	PRODUCE_FLAG	boolean	标识物料是否为企业自制件，用于生产计划判断	0=否，1=是
公共	启用状态	VALID_STATUS	boolean	标识物料主数据是否生效，生效后可用于各业务环节	0=禁用，1=启用
技术/研发	变更原因	CHANGE_REASON	string	发起工程变更的具体原因（如设计优化、工艺调整）	长度1-200字符
库存	移动类型	TRANS_TYPE	string	标识库存变动的类型，用于库存事务管理	入库/出库/移库/盘点
设备	维保类型	MAINTENANCE_TYPE	string	标识设备维保的类别，用于维保计划管理	保养/维修/点检
设备	点检结果	CHECK_RESULT	string	设备点检的最终结果，用于设备状态判断	正常/异常
生产	所属车间	WORKSHOP_ID	string	标识工作中心、设备所属的车间，用于组织管理	自定义车间编码规则
质量	检验标准ID	STANDARD_ID	string	唯一标识每一套检验标准，用于质量检验管理	自定义编码规则（如QC+物料编码+流水号）
质量	规格上限	SPEC_UPPER	decimal	检验项目的技术上限值，用于质量判定	根据物料技术要求设定
质量	检验结果	INSPECTION_RESULT	string	来料、过程检验的最终判定结果	合格/不合格/特采
质量	不良代码	DEFECT_CODE	string	标识产品不良现象的编码，用于不良原因分析	自定义不良编码（如DEF+不良类型+流水号）
